from_stop_id,to_stop_id,transfer_type,min_transfer_time
stop_point:SP_100,stop_point:SP_100,2,180
stop_point:SP_100,stop_point:SP_3886,2,180
stop_point:SP_1000,stop_point:SP_1000,2,180
stop_point:SP_1000,stop_point:SP_181,2,180
stop_point:SP_1002,stop_point:SP_1002,2,180
stop_point:SP_1002,stop_point:SP_196,2,180
stop_point:SP_1004,stop_point:SP_1004,2,180
stop_point:SP_1004,stop_point:SP_1658,2,180
stop_point:SP_1005,stop_point:SP_1005,2,180
stop_point:SP_1005,stop_point:SP_2341,2,180
stop_point:SP_1007,stop_point:SP_1007,2,180
stop_point:SP_1007,stop_point:SP_482,2,180
stop_point:SP_1008,stop_point:SP_1008,2,180
stop_point:SP_1008,stop_point:SP_1549,2,180
stop_point:SP_1009,stop_point:SP_1009,2,180
stop_point:SP_1009,stop_point:SP_866,2,180
stop_point:SP_101,stop_point:SP_101,2,180
stop_point:SP_101,stop_point:SP_1119,2,180
stop_point:SP_1010,stop_point:SP_1010,2,180
stop_point:SP_1010,stop_point:SP_1673,2,180
stop_point:SP_1010,stop_point:SP_2162,2,180
stop_point:SP_1010,stop_point:SP_2452,2,180
stop_point:SP_1010,stop_point:SP_2962,2,180
stop_point:SP_1010,stop_point:SP_3188,2,180
stop_point:SP_1010,stop_point:SP_3498,2,180
stop_point:SP_1010,stop_point:SP_799,2,180
stop_point:SP_1011,stop_point:SP_1011,2,180
stop_point:SP_1011,stop_point:SP_2644,2,180
stop_point:SP_1012,stop_point:SP_1012,2,180
stop_point:SP_1012,stop_point:SP_58,2,180
stop_point:SP_1013,stop_point:SP_1013,2,180
stop_point:SP_1013,stop_point:SP_115,2,180
stop_point:SP_1013,stop_point:SP_169,2,180
stop_point:SP_1013,stop_point:SP_1889,2,180
stop_point:SP_1013,stop_point:SP_505,2,180
stop_point:SP_1013,stop_point:SP_781,2,180
stop_point:SP_1014,stop_point:SP_1014,2,180
stop_point:SP_1014,stop_point:SP_3911,2,180
stop_point:SP_1015,stop_point:SP_1015,2,180
stop_point:SP_1015,stop_point:SP_553,2,180
stop_point:SP_1017,stop_point:SP_1017,2,180
stop_point:SP_1017,stop_point:SP_3070,2,180
stop_point:SP_1018,stop_point:SP_1018,2,180
stop_point:SP_1018,stop_point:SP_1927,2,180
stop_point:SP_1019,stop_point:SP_1019,2,180
stop_point:SP_1019,stop_point:SP_247,2,180
stop_point:SP_1020,stop_point:SP_1020,2,180
stop_point:SP_1020,stop_point:SP_4283,2,180
stop_point:SP_1021,stop_point:SP_1021,2,180
stop_point:SP_1021,stop_point:SP_1225,2,180
stop_point:SP_1022,stop_point:SP_1022,2,180
stop_point:SP_1022,stop_point:SP_61,2,180
stop_point:SP_1023,stop_point:SP_1023,2,180
stop_point:SP_1023,stop_point:SP_1304,2,180
stop_point:SP_1024,stop_point:SP_1024,2,180
stop_point:SP_1024,stop_point:SP_91,2,180
stop_point:SP_1027,stop_point:SP_1027,2,180
stop_point:SP_1027,stop_point:SP_1769,2,180
stop_point:SP_1027,stop_point:SP_5560,2,180
stop_point:SP_1028,stop_point:SP_1028,2,180
stop_point:SP_1028,stop_point:SP_2629,2,180
stop_point:SP_1028,stop_point:SP_323,2,180
stop_point:SP_1028,stop_point:SP_3999,2,180
stop_point:SP_1029,stop_point:SP_1029,2,180
stop_point:SP_1029,stop_point:SP_2152,2,180
stop_point:SP_1030,stop_point:SP_1030,2,180
stop_point:SP_1030,stop_point:SP_3226,2,180
stop_point:SP_1031,stop_point:SP_1031,2,180
stop_point:SP_1031,stop_point:SP_1113,2,180
stop_point:SP_1032,stop_point:SP_1032,2,180
stop_point:SP_1032,stop_point:SP_3135,2,180
stop_point:SP_1033,stop_point:SP_1033,2,180
stop_point:SP_1033,stop_point:SP_3618,2,180
stop_point:SP_1034,stop_point:SP_1034,2,180
stop_point:SP_1034,stop_point:SP_703,2,180
stop_point:SP_1035,stop_point:SP_1035,2,180
stop_point:SP_1035,stop_point:SP_3634,2,180
stop_point:SP_1036,stop_point:SP_1036,2,180
stop_point:SP_1036,stop_point:SP_1408,2,180
stop_point:SP_1036,stop_point:SP_2559,2,180
stop_point:SP_1036,stop_point:SP_3624,2,180
stop_point:SP_1037,stop_point:SP_1037,2,180
stop_point:SP_1037,stop_point:SP_3680,2,180
stop_point:SP_1038,stop_point:SP_1038,2,180
stop_point:SP_1042,stop_point:SP_1042,2,180
stop_point:SP_1042,stop_point:SP_2319,2,180
stop_point:SP_1044,stop_point:SP_1044,2,180
stop_point:SP_1044,stop_point:SP_491,2,180
stop_point:SP_1045,stop_point:SP_1045,2,1200
stop_point:SP_1045,stop_point:SP_2484,2,1200
stop_point:SP_1046,stop_point:SP_1046,2,180
stop_point:SP_1046,stop_point:SP_823,2,180
stop_point:SP_1047,stop_point:SP_1047,2,180
stop_point:SP_1047,stop_point:SP_1115,2,180
stop_point:SP_1048,stop_point:SP_1048,2,180
stop_point:SP_1048,stop_point:SP_3254,2,180
stop_point:SP_1049,stop_point:SP_1049,2,0
stop_point:SP_1049,stop_point:SP_3050,2,0
stop_point:SP_105,stop_point:SP_105,2,180
stop_point:SP_105,stop_point:SP_1674,2,180
stop_point:SP_105,stop_point:SP_2271,2,180
stop_point:SP_105,stop_point:SP_779,2,180
stop_point:SP_1050,stop_point:SP_1050,2,180
stop_point:SP_1050,stop_point:SP_1937,2,180
stop_point:SP_1051,stop_point:SP_1051,2,180
stop_point:SP_1051,stop_point:SP_3873,2,180
stop_point:SP_1051,stop_point:SP_3917,2,180
stop_point:SP_1052,stop_point:SP_1052,2,180
stop_point:SP_1052,stop_point:SP_2738,2,180
stop_point:SP_1053,stop_point:SP_1053,2,180
stop_point:SP_1053,stop_point:SP_1129,2,180
stop_point:SP_1055,stop_point:SP_1055,2,180
stop_point:SP_1055,stop_point:SP_1461,2,180
stop_point:SP_1056,stop_point:SP_1056,2,180
stop_point:SP_1056,stop_point:SP_434,2,180
stop_point:SP_1057,stop_point:SP_1057,2,180
stop_point:SP_1057,stop_point:SP_1819,2,180
stop_point:SP_106,stop_point:SP_106,2,180
stop_point:SP_106,stop_point:SP_84,2,180
stop_point:SP_1063,stop_point:SP_1063,2,180
stop_point:SP_1063,stop_point:SP_2685,2,180
stop_point:SP_1067,stop_point:SP_1067,2,180
stop_point:SP_1067,stop_point:SP_44,2,180
stop_point:SP_1069,stop_point:SP_1069,2,180
stop_point:SP_1069,stop_point:SP_1299,2,180
stop_point:SP_1070,stop_point:SP_1070,2,180
stop_point:SP_1070,stop_point:SP_4871,2,180
stop_point:SP_1071,stop_point:SP_1071,2,180
stop_point:SP_1071,stop_point:SP_2878,2,180
stop_point:SP_1072,stop_point:SP_1072,2,180
stop_point:SP_1072,stop_point:SP_302,2,180
stop_point:SP_1074,stop_point:SP_1074,2,180
stop_point:SP_1074,stop_point:SP_3835,2,180
stop_point:SP_1075,stop_point:SP_1075,2,180
stop_point:SP_1075,stop_point:SP_3715,2,180
stop_point:SP_1076,stop_point:SP_1076,2,180
stop_point:SP_1076,stop_point:SP_4791,2,180
stop_point:SP_1077,stop_point:SP_1077,2,180
stop_point:SP_1077,stop_point:SP_3763,2,180
stop_point:SP_1077,stop_point:SP_974,2,180
stop_point:SP_1081,stop_point:SP_1081,2,180
