route_id,service_id,trip_id,direction_id,trip_headsign,shape_id
line:61,27_1198692,1901291,1,Basso Cambo,11971
line:61,27_1198155,1900755,1,Basso Cambo,11971
line:61,27_1199889,1902475,0,Balma-Gramont,11970
line:61,27_1199853,1902442,1,Basso Cambo,11971
line:61,27_1198810,1901408,0,Balma-Gramont,11970
line:61,27_1199142,1901739,0,Balma-Gramont,11970
line:61,27_1199281,1901878,1,Basso Cambo,11971
line:61,27_1199775,1902366,1,Basso Cambo,11971
line:61,27_1198171,1900771,1,Basso Cambo,11971
line:61,27_1197825,1900425,0,Balma-Gramont,11970
line:61,27_1198375,1900974,0,Balma-Gramont,11970
line:61,27_1199059,1901657,1,Basso Cambo,11971
line:61,27_1199750,1902341,0,Balma-Gramont,11970
line:61,27_1197867,1900467,0,Balma-Gramont,11970
line:61,27_1199309,1901906,1,Basso Cambo,11971
line:61,27_1199265,1901862,1,Basso Cambo,11971
line:61,27_1199131,1901728,0,Balma-Gramont,11970
line:61,27_1198801,1901399,0,Balma-Gramont,11970
line:61,27_1198335,1900934,0,Balma-Gramont,11970
line:61,27_1198478,1901077,0,Balma-Gramont,11970
line:61,27_1198430,1901029,0,Balma-Gramont,11970
line:61,27_1197881,1900481,0,Balma-Gramont,11970
line:61,27_1198806,1901404,0,Balma-Gramont,11970
line:61,27_1198482,1901081,0,Balma-Gramont,11970
line:61,27_1199130,1901727,0,Balma-Gramont,11970
line:61,27_1198143,1900743,1,Basso Cambo,11971
line:61,27_1198396,1900995,0,Balma-Gramont,11970
line:61,27_1198826,1901424,0,Balma-Gramont,11970
line:61,27_1198298,1900897,0,Balma-Gramont,11970
line:61,27_1199515,1902109,0,Balma-Gramont,11970
line:61,27_1198578,1901177,1,Basso Cambo,11971
line:61,27_1198724,1901323,1,Basso Cambo,11971
line:61,27_1198969,1901567,0,Balma-Gramont,11970
line:61,27_1198678,1901277,1,Basso Cambo,11971
line:61,27_1199500,1902094,0,Balma-Gramont,11970
line:61,27_1198609,1901208,1,Basso Cambo,11971
line:61,27_1199744,1902335,0,Balma-Gramont,11970
line:61,27_1198131,1900731,1,Basso Cambo,11971
line:61,27_1199776,1902367,1,Basso Cambo,11971
line:61,27_1198706,1901305,1,Basso Cambo,11971
line:61,27_1197865,1900465,0,Balma-Gramont,11970
line:61,27_1198737,1901336,1,Basso Cambo,11971
line:61,27_1199073,1901671,1,Basso Cambo,11971
line:61,27_1199088,1901686,1,Basso Cambo,11971
line:61,27_1197620,1900220,0,Balma-Gramont,11970
line:61,27_1197876,1900476,0,Balma-Gramont,11970
line:61,27_1198689,1901288,1,Basso Cambo,11971
line:61,27_1199219,1901816,1,Basso Cambo,11971
line:61,27_1199858,1902446,0,Balma-Gramont,11970
line:61,27_1199062,1901660,1,Basso Cambo,11971
line:61,27_1197707,1900307,0,Balma-Gramont,11970
line:61,27_1198667,1901266,1,Basso Cambo,11971
line:61,27_1199175,1901772,0,Balma-Gramont,11970
line:61,27_1198245,1900845,1,Basso Cambo,11971
